"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","class (income)"
28,"Private",338409,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,0,40,"Cuba","<=50K"
37,"Private",284582,"Masters",14,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States","<=50K"
49,"Private",160187,"9th",5,"Married-spouse-absent","Other-service","Not-in-family","Black","Female",0,0,16,"Jamaica","<=50K"
31,"Private",45781,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",14084,0,50,"United-States",">50K"
23,"Private",122272,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,30,"United-States","<=50K"
43,"Self-emp-not-inc",292175,"Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,45,"United-States",">50K"
54,"Private",302146,"HS-grad",9,"Separated","Other-service","Unmarried","Black","Female",0,0,20,"United-States","<=50K"
59,"Private",109015,"HS-grad",9,"Divorced","Tech-support","Unmarried","White","Female",0,0,40,"United-States","<=50K"
19,"Private",544091,"HS-grad",9,"Married-AF-spouse","Adm-clerical","Wife","White","Female",0,0,25,"United-States","<=50K"
49,"Private",94638,"HS-grad",9,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
44,"Private",128354,"Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
25,"Private",32275,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","Other","Female",0,0,40,"United-States","<=50K"
47,"Private",51835,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,60,"Honduras",">50K"
28,"Private",183175,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
53,"Private",169846,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K"
31,"Private",309974,"Bachelors",13,"Separated","Sales","Own-child","Black","Female",0,0,40,"United-States","<=50K"
18,"Private",309634,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,22,"United-States","<=50K"
46,"Private",51618,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States","<=50K"
44,"Private",343591,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Female",14344,0,40,"United-States",">50K"
53,"Private",346253,"HS-grad",9,"Divorced","Sales","Own-child","White","Female",0,0,35,"United-States","<=50K"
43,"Federal-gov",410867,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States",">50K"
37,"Private",286730,"Some-college",10,"Divorced","Craft-repair","Unmarried","White","Female",0,0,40,"United-States","<=50K"
28,"Private",212563,"Some-college",10,"Divorced","Machine-op-inspct","Unmarried","Black","Female",0,0,25,"United-States","<=50K"
48,"Private",171095,"Assoc-acdm",12,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"England","<=50K"
47,"Self-emp-not-inc",149116,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
20,"Private",188300,"Some-college",10,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States","<=50K"
31,"Local-gov",189265,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
28,"Private",377869,"Some-college",10,"Married-civ-spouse","Sales","Wife","White","Female",4064,0,25,"United-States","<=50K"
36,"Private",102864,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States","<=50K"
21,"Private",199915,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K"
47,"Private",287828,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States",">50K"
20,"Private",111697,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,1719,28,"United-States","<=50K"
28,"Private",69621,"Assoc-acdm",12,"Never-married","Sales","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
24,"Private",43323,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,1762,40,"United-States","<=50K"
