"age","education","occupation","sex","native-country","class (income)"
39,"Bachelors","Adm-clerical","Male","United-States","<=50K"
50,"Bachelors","Exec-managerial","Male","United-States","<=50K"
38,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
53,"11th","Handlers-cleaners","Male","United-States","<=50K"
28,"Bachelors","Prof-specialty","Female","Cuba","<=50K"
37,"Masters","Exec-managerial","Female","United-States","<=50K"
49,"9th","Other-service","Female","Jamaica","<=50K"
52,"HS-grad","Exec-managerial","Male","United-States",">50K"
31,"Masters","Prof-specialty","Female","United-States",">50K"
42,"Bachelors","Exec-managerial","Male","United-States",">50K"
37,"Some-college","Exec-managerial","Male","United-States",">50K"
30,"Bachelors","Prof-specialty","Male","India",">50K"
23,"Bachelors","Adm-clerical","Female","United-States","<=50K"
32,"Assoc-acdm","Sales","Male","United-States","<=50K"
34,"7th-8th","Transport-moving","Male","Mexico","<=50K"
25,"HS-grad","Farming-fishing","Male","United-States","<=50K"
32,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
38,"11th","Sales","Male","United-States","<=50K"
43,"Masters","Exec-managerial","Female","United-States",">50K"
40,"Doctorate","Prof-specialty","Male","United-States",">50K"
54,"HS-grad","Other-service","Female","United-States","<=50K"
35,"9th","Farming-fishing","Male","United-States","<=50K"
43,"11th","Transport-moving","Male","United-States","<=50K"
59,"HS-grad","Tech-support","Female","United-States","<=50K"
56,"Bachelors","Tech-support","Male","United-States",">50K"
19,"HS-grad","Craft-repair","Male","United-States","<=50K"
39,"HS-grad","Exec-managerial","Male","United-States","<=50K"
49,"HS-grad","Craft-repair","Male","United-States","<=50K"
23,"Assoc-acdm","Protective-serv","Male","United-States","<=50K"
20,"Some-college","Sales","Male","United-States","<=50K"
45,"Bachelors","Exec-managerial","Male","United-States","<=50K"
30,"Some-college","Adm-clerical","Male","United-States","<=50K"
22,"Some-college","Other-service","Male","United-States","<=50K"
48,"11th","Machine-op-inspct","Male","Puerto-Rico","<=50K"
21,"Some-college","Machine-op-inspct","Male","United-States","<=50K"
19,"HS-grad","Adm-clerical","Female","United-States","<=50K"
48,"Assoc-acdm","Prof-specialty","Male","United-States","<=50K"
31,"9th","Machine-op-inspct","Male","United-States","<=50K"
53,"Bachelors","Prof-specialty","Male","United-States","<=50K"
24,"Bachelors","Tech-support","Male","United-States","<=50K"
