"CustomerKey","WebActivity","Sentiment Analysis","MaritalStatus","Gender","EstimatedYearlyIncome","NumberOfContracts","Age","Target","Available401K","CustomerValueSegment","ChurnScore","CallActivity","Products"
11000,0,2,"M","M",90000,0,44,1,1,1,0.1,4,"Private Investment"
11000,0,2,"M","M",90000,0,44,1,1,1,0.1,4,"Private Investment"
11001,3,3,"S","M",60000,1,45,1,0,1,0.0,4,"Private Investment"
11001,3,3,"S","M",60000,1,45,1,0,1,0.0,4,"Private Investment"
11002,3,3,"M","M",60000,1,45,1,1,1,0.2,4,"Private Investment"
11002,3,3,"M","M",60000,1,45,1,1,1,0.2,4,"Private Investment"
11003,0,0,"S","F",70000,1,42,1,0,1,0.5,4,"Private Investment"
11003,0,0,"S","F",70000,1,42,1,0,1,0.5,4,"Private Investment"
11004,5,5,"S","F",80000,4,42,1,1,1,0.1,4,"Private Investment"
11004,5,5,"S","F",80000,4,42,1,1,1,0.1,4,"Private Investment"
11005,0,0,"S","M",70000,1,45,1,1,1,0.5,4,"Private Investment"
11005,0,0,"S","M",70000,1,45,1,1,1,0.5,4,"Private Investment"
11006,0,0,"S","F",70000,1,44,1,1,1,0.5,4,"Private Investment"
11006,0,0,"S","F",70000,1,44,1,1,1,0.5,4,"Private Investment"
11007,3,3,"M","M",60000,2,46,1,1,1,0.0,4,"Private Investment"
11007,3,3,"M","M",60000,2,46,1,1,1,0.0,4,"Private Investment"
11008,4,4,"S","F",60000,3,46,1,1,1,1.0,4,"Private Investment"
11008,4,4,"S","F",60000,3,46,1,1,1,1.0,4,"Private Investment"
11009,0,0,"S","M",70000,1,46,1,0,1,0.5,4,"Private Investment"
11009,0,0,"S","M",70000,1,46,1,0,1,0.5,4,"Private Investment"
11010,0,0,"S","F",70000,1,46,1,0,1,0.5,4,"Private Investment"
11010,0,0,"S","F",70000,1,46,1,0,1,0.5,4,"Private Investment"
11011,4,4,"M","M",60000,4,46,1,1,1,1.0,4,"Private Investment"
11011,4,4,"M","M",60000,4,46,1,1,1,1.0,4,"Private Investment"
11012,0,2,"M","F",100000,2,42,0,1,2,0.1,5,"Private Investment"
11012,0,2,"M","F",100000,2,42,0,1,2,0.1,5,"Private Investment"
11013,0,2,"M","M",100000,3,42,0,1,2,0.0,5,"Private Investment"
11013,0,2,"M","M",100000,3,42,0,1,2,0.0,5,"Private Investment"
11014,0,3,"S","F",100000,3,42,0,0,2,0.1,5,"Private Investment"
11014,0,3,"S","F",100000,3,42,0,0,2,0.1,5,"Private Investment"
11015,0,0,"S","F",30000,1,31,1,0,2,0.5,3,"P+B Investment"
11015,0,0,"S","F",30000,1,31,1,0,2,0.5,3,"P+B Investment"
11016,0,0,"M","M",30000,1,31,1,1,2,0.5,3,"P+B Investment"
11016,0,0,"M","M",30000,1,31,1,1,2,0.5,3,"P+B Investment"
11017,0,4,"S","F",20000,2,66,1,1,1,0.5,3,"Gold Investment"
11017,0,4,"S","F",20000,2,66,1,1,1,0.5,3,"Gold Investment"
11018,0,2,"S","M",30000,2,66,1,1,1,0.5,2,"P+B Investment"
11018,0,2,"S","M",30000,2,66,1,1,1,0.5,2,"P+B Investment"
11019,0,0,"S","M",40000,2,32,0,0,2,0.5,3,"Gold Investment"
11019,0,0,"S","M",40000,2,32,0,0,2,0.5,3,"Gold Investment"
11020,0,0,"S","M",40000,2,32,1,0,2,0.1,3,"Gold Investment"
11020,0,0,"S","M",40000,2,32,1,0,2,0.1,3,"Gold Investment"
11021,0,0,"S","F",40000,1,32,1,0,2,0.1,3,"P+B Investment"
11021,0,0,"S","F",40000,1,32,1,0,2,0.1,3,"P+B Investment"
11022,0,0,"M","M",40000,1,32,1,1,2,0.5,3,"P+B Investment"
11022,0,0,"M","M",40000,1,32,1,1,2,0.5,3,"P+B Investment"
11023,0,0,"M","M",40000,1,32,0,1,2,0.1,3,"P+B Investment"
11023,0,0,"M","M",40000,1,32,0,1,2,0.1,3,"P+B Investment"
11024,0,0,"M","M",60000,2,32,0,1,2,0.5,3,"P+B Investment"
11024,0,0,"M","M",60000,2,32,0,1,2,0.5,3,"P+B Investment"
11025,1,2,"M","M",10000,2,64,1,1,1,0.1,2,"CO Investment"
11025,1,2,"M","M",10000,2,64,1,1,1,0.1,2,"CO Investment"
11026,0,2,"S","M",30000,2,64,1,0,1,0.1,2,"P+B Investment"
11026,0,2,"S","M",30000,2,64,1,0,1,0.1,2,"P+B Investment"
11027,0,2,"M","M",30000,2,63,1,1,1,0.5,2,"P+B Investment"
11027,0,2,"M","M",30000,2,63,1,1,1,0.5,2,"P+B Investment"
11028,0,2,"M","F",30000,2,64,1,1,1,0.1,2,"P+B Investment"
11028,0,2,"M","F",30000,2,64,1,1,1,0.1,2,"P+B Investment"
11029,0,2,"M","M",30000,2,63,1,1,1,0.1,2,"P+B Investment"
11029,0,2,"M","M",30000,2,63,1,1,1,0.1,2,"P+B Investment"
11030,1,2,"M","F",10000,2,63,1,1,1,0.1,2,"CO Investment"
11030,1,2,"M","F",10000,2,63,1,1,1,0.1,2,"CO Investment"
11031,0,4,"M","F",20000,2,63,1,1,1,0.1,3,"Gold Investment"
11031,0,4,"M","F",20000,2,63,1,1,1,0.1,3,"Gold Investment"
11032,0,4,"M","F",20000,2,63,1,1,1,0.1,3,"Gold Investment"
11032,0,4,"M","F",20000,2,63,1,1,1,0.1,3,"Gold Investment"
11033,0,4,"M","M",20000,2,63,1,1,1,0.5,3,"Gold Investment"
11033,0,4,"M","M",20000,2,63,1,1,1,0.5,3,"Gold Investment"
11034,0,4,"M","F",20000,2,63,1,1,1,0.5,3,"Gold Investment"
11034,0,4,"M","F",20000,2,63,1,1,1,0.5,3,"Gold Investment"
11035,1,2,"M","F",10000,2,62,1,1,1,0.1,2,"CO Investment"
11035,1,2,"M","F",10000,2,62,1,1,1,0.1,2,"CO Investment"
11036,0,0,"M","F",60000,2,31,1,1,2,0.1,3,"P+B Investment"
11036,0,0,"M","F",60000,2,31,1,1,2,0.1,3,"P+B Investment"
11037,0,0,"S","F",40000,2,32,1,0,2,0.5,2,"CO Investment"
11037,0,0,"S","F",40000,2,32,1,0,2,0.5,2,"CO Investment"
11038,1,2,"M","F",10000,2,62,1,1,1,0.5,2,"CO Investment"
11038,1,2,"M","F",10000,2,62,1,1,1,0.5,2,"CO Investment"
11039,0,3,"M","M",30000,2,61,1,1,1,0.5,2,"P+B Investment"
11039,0,3,"M","M",30000,2,61,1,1,1,0.5,2,"P+B Investment"
11040,0,0,"M","M",30000,2,33,1,1,2,0.1,3,"P+B Investment"
11040,0,0,"M","M",30000,2,33,1,1,2,0.1,3,"P+B Investment"
11041,0,0,"M","F",60000,2,32,1,1,2,0.1,3,"P+B Investment"
11041,0,0,"M","F",60000,2,32,1,1,2,0.1,3,"P+B Investment"
11042,0,0,"M","F",70000,2,33,1,1,2,0.0,3,"P+B Investment"
11042,0,0,"M","F",70000,2,33,1,1,2,0.0,3,"P+B Investment"
11043,0,0,"M","M",60000,2,34,0,1,2,0.5,3,"P+B Investment"
11043,0,0,"M","M",60000,2,34,0,1,2,0.5,3,"P+B Investment"
11044,1,2,"M","M",20000,2,61,1,1,1,0.1,2,"CO Investment"
11044,1,2,"M","M",20000,2,61,1,1,1,0.1,2,"CO Investment"
11045,0,3,"S","M",30000,2,60,0,0,1,0.1,3,"Gold Investment"
11045,0,3,"S","M",30000,2,60,0,0,1,0.1,3,"Gold Investment"
11046,0,3,"M","F",30000,2,60,1,1,1,0.5,3,"Gold Investment"
11046,0,3,"M","F",30000,2,60,1,1,1,0.5,3,"Gold Investment"
11047,0,3,"M","F",30000,2,60,1,0,1,0.1,3,"Gold Investment"
11047,0,3,"M","F",30000,2,60,1,0,1,0.1,3,"Gold Investment"
11048,0,3,"M","M",30000,2,59,1,1,1,0.5,3,"Gold Investment"
11048,0,3,"M","M",30000,2,59,1,1,1,0.5,3,"Gold Investment"
11049,0,0,"S","F",40000,2,30,0,1,2,0.5,2,"CO Investment"
11049,0,0,"S","F",40000,2,30,0,1,2,0.5,2,"CO Investment"
11050,0,3,"M","M",30000,2,59,1,1,1,0.5,3,"Gold Investment"
11050,0,3,"M","M",30000,2,59,1,1,1,0.5,3,"Gold Investment"
11051,0,3,"S","M",30000,2,59,0,0,1,0.1,3,"Gold Investment"
11051,0,3,"S","M",30000,2,59,0,0,1,0.1,3,"Gold Investment"
11052,0,2,"S","F",40000,2,59,1,0,1,0.5,2,"P+B Investment"
11052,0,2,"S","F",40000,2,59,1,0,1,0.5,2,"P+B Investment"
11053,0,0,"M","F",60000,2,30,1,0,2,0.1,3,"P+B Investment"
11053,0,0,"M","F",60000,2,30,1,0,2,0.1,3,"P+B Investment"
11054,0,2,"M","F",40000,2,58,1,1,1,0.5,3,"P+B Investment"
11054,0,2,"M","F",40000,2,58,1,1,1,0.5,3,"P+B Investment"
11055,0,2,"M","M",40000,2,58,1,1,1,0.5,3,"P+B Investment"
11055,0,2,"M","M",40000,2,58,1,1,1,0.5,3,"P+B Investment"
11056,0,3,"M","F",40000,2,57,1,1,1,0.5,3,"P+B Investment"
11056,0,3,"M","F",40000,2,57,1,1,1,0.5,3,"P+B Investment"
11057,0,2,"M","M",70000,2,57,1,1,1,0.1,5,"Fund Manager+"
11057,0,2,"M","M",70000,2,57,1,1,1,0.1,5,"Fund Manager+"
11058,0,2,"M","M",80000,2,56,1,1,1,0.1,3,"P+B Investment"
11058,0,2,"M","M",80000,2,56,1,1,1,0.1,3,"P+B Investment"
11059,0,2,"S","F",80000,2,56,0,1,1,0.5,3,"P+B Investment"
11059,0,2,"S","F",80000,2,56,0,1,1,0.5,3,"P+B Investment"
11060,0,2,"M","M",80000,2,56,1,1,1,0.5,3,"P+B Investment"
11060,0,2,"M","M",80000,2,56,1,1,1,0.5,3,"P+B Investment"
11061,0,2,"M","M",80000,2,56,1,1,1,0.5,3,"P+B Investment"
11061,0,2,"M","M",80000,2,56,1,1,1,0.5,3,"P+B Investment"
11062,0,0,"M","M",40000,2,35,1,1,2,0.5,3,"Gold Investment"
11062,0,0,"M","M",40000,2,35,1,1,2,0.5,3,"Gold Investment"
11063,0,0,"S","F",40000,2,35,1,1,2,0.5,3,"Gold Investment"
11063,0,0,"S","F",40000,2,35,1,1,2,0.5,3,"Gold Investment"
11064,0,0,"M","M",40000,2,34,1,1,2,0.5,3,"Gold Investment"
