TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
611,2928,COLUMBIA ST,MOUNT PLEASANT,COLUMBIA ST,2900,EVEN,N,2,7.00,20181014,7,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST,49.259191,-123.10953
1467,438,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,20181014,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,49.266702,-123.09324
1468,438,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,20181014,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,49.266701,-123.09331
1470,438,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,20181014,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,0.000000,0.000000
1471,438,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,20181014,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,49.266705,-123.09362
1472,438,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,20181014,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,49.266706,-123.09372
1473,438,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,20181014,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,49.266706,-123.09383
1474,438,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,20181014,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,0.000000,0.000000
1475,438,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,20181014,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,49.266707,-123.09393
1477,577,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,500,ODD,N,1,3.00,20181014,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,0.000000,0.000000
1478,701,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,700,ODD,N,2,6.00,20181014,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,0.000000,0.000000
1480,701,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,700,ODD,N,1,4.00,20181014,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,0.000000,0.000000
1483,801,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,800,ODD,N,1,3.00,20181014,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,0.000000,0.000000
1487,901,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,900,ODD,N,1,3.00,20181014,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR,0.000000,0.000000
1488,1077,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,1000,ODD,N,2,4.00,20181014,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH,0.000000,0.000000
2733,88,E 13TH AV,MOUNT PLEASANT,QUEBEC ST,2900,ODD,N,1,3.00,20120306,4,Y,Y,LUTESCENS,SORBUS,ARIA,GOLDEN WHITEBEAM,49.259214,-123.10320
2734,580,E 12TH AV,MOUNT PLEASANT,CAROLINA ST,2800,ODD,N,1,4.00,20120320,8,N,Y,SHIROFUGEN,PRUNUS,SERRULATA,SHIROFUGEN CHERRY,49.259372,-123.09117
2735,64,W 14TH AV,MOUNT PLEASANT,W 14TH AV,0,EVEN,N,1,4.50,20120306,4,N,Y,AKEBONO,PRUNUS,X YEDOENSIS,AKEBONO FLOWERING CHERRY,49.258444,-123.10649
2738,3096,CAMBIE ST,MOUNT PLEASANT,W 15TH AV,400,ODD,N,1,5.00,20120319,5,N,Y,SHIROFUGEN,PRUNUS,SERRULATA,SHIROFUGEN CHERRY,49.257856,-123.11464
2739,301,E 5TH AV,MOUNT PLEASANT,E 5TH AV,300,ODD,Y,1,3.00,20111124,4,N,Y, ,MAGNOLIA,SPECIES,MAGNOLIA SPECIES,49.266431,-123.09853
1005,2938,COLUMBIA ST,MOUNT PLEASANT,COLUMBIA ST,2900,EVEN,N,2,5.00,20181014,7,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE,49.259096,-123.10953
2921,281,W 13TH AV,MOUNT PLEASANT,W 13TH AV,200,ODD,N,4,18.00,20181014,6,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST,0.000000,0.000000
2924,281,W 13TH AV,MOUNT PLEASANT,W 13TH AV,200,ODD,N,4,18.50,20181014,6,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST,0.000000,0.000000
484,2,W 1ST AV,MOUNT PLEASANT,W 1ST AV,0,EVEN,N,4,14.00,20181014,B,N,Y, ,CHAMAECYPARIS,OBTUSA,HINOKI FALSECYPRESS,0.000000,0.000000
485,2,W 1ST AV,MOUNT PLEASANT,W 1ST AV,0,EVEN,N,4,12.00,20181014,B,N,Y, ,CHAMAECYPARIS,OBTUSA,HINOKI FALSECYPRESS,0.000000,0.000000
494,85,W 1ST AV,MOUNT PLEASANT,W 1ST AV,0,ODD,N,3,6.50,20181014,N,N,N, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH,0.000000,0.000000
1489,1077,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,1000,ODD,N,1,5.00,20181014,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH,0.000000,0.000000
1490,1077,GREAT NORTHERN WAY,MOUNT PLEASANT,GREAT NORTHERN WAY,1000,ODD,N,2,5.00,20181014,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH,0.000000,0.000000
1119,300,E 2ND AV,MOUNT PLEASANT,E 2ND AV,300,EVEN,N,4,6.00,20181014,B,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,0.000000,0.000000
1125,377,E 2ND AV,MOUNT PLEASANT,E 2ND AV,300,ODD,N,5,37.00,20181014,b,N,Y, ,ACER,MACROPHYLLUM,BIGLEAF MAPLE,0.000000,0.000000
1127,377,E 2ND AV,MOUNT PLEASANT,E 2ND AV,300,ODD,N,3,12.00,20181014,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR,0.000000,0.000000
1128,377,E 2ND AV,MOUNT PLEASANT,E 2ND AV,300,ODD,N,2,7.00,20181014,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR,0.000000,0.000000
