date,variable,value,value01
01/07/1967,pce,507.4,0
01/08/1967,pce,510.5,0.000266001
01/09/1967,pce,516.3,0.00076368
01/10/1967,pce,512.9,0.000471937
01/11/1967,pce,518.1,0.000918132
01/12/1967,pce,525.8,0.001578843
01/01/1968,pce,531.5,0.002067942
01/02/1968,pce,534.2,0.00229962
01/03/1968,pce,544.9,0.003217752
01/04/1968,pce,544.6,0.00319201
01/05/1968,pce,550.4,0.003689689
01/06/1968,pce,556.8,0.004238852
01/07/1968,pce,563.8,0.004839499
01/08/1968,pce,567.6,0.005165564
01/09/1968,pce,568.8,0.005268532
01/10/1968,pce,572.3,0.005568856
01/11/1968,pce,577.4,0.00600647
01/12/1968,pce,577.2,0.005989308
01/01/1969,pce,584.2,0.006589955
01/02/1969,pce,589.5,0.007044731
01/03/1969,pce,589.7,0.007061892
01/04/1969,pce,594.7,0.007490926
01/05/1969,pce,601.1,0.008040089
01/06/1969,pce,601.7,0.008091573
01/07/1969,pce,603.5,0.008246025
01/08/1969,pce,610.8,0.008872414
01/09/1969,pce,614.1,0.009155576
01/10/1969,pce,619.4,0.009610352
01/11/1969,pce,621.4,0.009781965
01/12/1969,pce,623.7,0.009979321
01/01/1970,pce,629.6,0.01048558
01/02/1970,pce,634.9,0.010940356
01/03/1970,pce,633.2,0.010794484
01/04/1970,pce,637,0.01112055
01/05/1970,pce,643.4,0.011669713
01/06/1970,pce,647.2,0.011995778
01/07/1970,pce,649.5,0.012193134
01/08/1970,pce,653.9,0.012570683
01/09/1970,pce,660.1,0.013102685
01/10/1970,pce,659.3,0.01303404
01/11/1970,pce,657.6,0.012888168
01/12/1970,pce,666.6,0.013660429
01/01/1971,pce,677.2,0.01456998
01/02/1971,pce,680.4,0.014844561
01/03/1971,pce,683,0.015067659
01/04/1971,pce,689.8,0.015651144
01/05/1971,pce,692.2,0.01585708
01/06/1971,pce,700.8,0.016595018
01/07/1971,pce,699.9,0.016517792
01/08/1971,pce,706,0.017041213
01/09/1971,pce,714.1,0.017736247
01/10/1971,pce,716.9,0.017976506
01/11/1971,pce,722.1,0.018422701
01/12/1971,pce,729.6,0.019066251
01/01/1972,pce,732.6,0.019323671
01/02/1972,pce,737.3,0.019726963
01/03/1972,pce,750.4,0.020851031
01/04/1972,pce,753.8,0.021142774
01/05/1972,pce,759.2,0.02160613
01/06/1972,pce,762.9,0.021923615
01/07/1972,pce,771.2,0.022635811
01/08/1972,pce,777.7,0.023193554
01/09/1972,pce,782.5,0.023605426
01/10/1972,pce,796.3,0.024789559
01/11/1972,pce,801.8,0.025261496
01/12/1972,pce,807.5,0.025750594
01/01/1973,pce,817.9,0.026642984
01/02/1973,pce,827.2,0.027440986
01/03/1973,pce,834.2,0.028041633
01/04/1973,pce,837.2,0.028299054
01/05/1973,pce,843.1,0.028805313
01/06/1973,pce,845.8,0.029036991
01/07/1973,pce,855.7,0.029886478
01/08/1973,pce,854.9,0.029817832
01/09/1973,pce,870.9,0.03119074
01/10/1973,pce,869.8,0.031096352
01/11/1973,pce,878.6,0.031851451
01/12/1973,pce,878.4,0.03183429
01/01/1974,pce,886.4,0.032520744
01/02/1974,pce,891.6,0.032966939
01/03/1974,pce,903.3,0.033970877
01/04/1974,pce,912.7,0.03477746
01/05/1974,pce,924.3,0.035772818
01/06/1974,pce,929.9,0.036253336
01/07/1974,pce,939.8,0.037102822
01/08/1974,pce,956.6,0.038544375
01/09/1974,pce,956.8,0.038561536
01/10/1974,pce,961,0.038921924
01/11/1974,pce,958,0.038664504
01/12/1974,pce,963.6,0.039145022
01/01/1975,pce,977.4,0.040329155
01/02/1975,pce,991.3,0.041521868
01/03/1975,pce,992.6,0.041633417
01/04/1975,pce,997.2,0.042028127
01/05/1975,pce,1021.2,0.044087489
01/06/1975,pce,1029.1,0.044765362
01/07/1975,pce,1042.2,0.045889429
01/08/1975,pce,1049.4,0.046507238
01/09/1975,pce,1057.2,0.04717653
01/10/1975,pce,1063.2,0.04769137
01/11/1975,pce,1078,0.04896131
01/12/1975,pce,1094.4,0.05036854
01/01/1976,pce,1109.5,0.051664221
01/02/1976,pce,1110.1,0.051715705
01/03/1976,pce,1117.3,0.052333514
01/04/1976,pce,1127.8,0.053234484
01/05/1976,pce,1125.1,0.053002806
01/06/1976,pce,1142.9,0.054530165
01/07/1976,pce,1152.1,0.055319587
01/08/1976,pce,1160.5,0.056040363
01/09/1976,pce,1171.4,0.056975657
01/10/1976,pce,1179.5,0.057670691
01/11/1976,pce,1191.7,0.058717533
01/12/1976,pce,1214.1,0.060639603
01/01/1977,pce,1217.4,0.060922765
01/02/1977,pce,1233.7,0.062321415
01/03/1977,pce,1240.7,0.062922062
01/04/1977,pce,1249.7,0.063694322
01/05/1977,pce,1259.6,0.064543809
01/06/1977,pce,1266.3,0.065118714
01/07/1977,pce,1283.2,0.066568847
01/08/1977,pce,1288.5,0.067023623
01/09/1977,pce,1297.4,0.067787302
01/10/1977,pce,1314.3,0.069237436
01/11/1977,pce,1330,0.070584601
01/12/1977,pce,1339.3,0.071382604
01/01/1978,pce,1333,0.070842021
